ts	phase	decision	rationale	evidence
37	2026-08-07	G-B1-write-done	B1 write side landed green: Reply/EditMessage/DeleteMessage/React/Unreact/MarkRead/MarkUnread/Archive/UpdateChat(ChatState pin/mute)/SetReminder/ClearReminder. do() now skips decode when result==nil so 204 writes don't choke. Every write refuses on a read-only client (table test proves all 11). Owned Sonnet diff + reran	go test -json beeper: 36 pass, 0 fail; go build ./... clean	companion/internal/capability/messaging/beeper/client_write.go
38	2026-08-07	G-B5-done	B5 read-only wiring fixed at both runtime sites: BEEPER_READONLY now yields a client.ReadOnly() (reads work, writes refuse ErrReadOnly) instead of nil (Beeper gone). Serves the vision: a cautious user still gets unread reads. Same-bug grep BEEPER_READONLY: 2 runtime sites (phone beeper_health.go + Mac cmd production.go) both fixed; cmd/proveadapter has no readonly gate (N/A)	go test -json phoneruntime: 17 pass, 0 fail; go build cmd+phoneruntime clean	companion/internal/phoneruntime/beeper_health.go + cmd/codex-launcher/production.go
39	2026-08-07	G-B2-run	B2 adapter read+manage: orchestrator wrote adapter_readmanage_test.go (17 behaviors: unread-scan empty subject = the canonical bug, named read, truncation to codec limits, reply/edit/delete targeting by recency, state-op confirmed vs reply-pending outcomes, unknown-op + ambiguous-name clarify, manifest declares Read/Send/Modify/Cancel), confirmed red, delegated impl to Sonnet with the full operation registry table + read-scope + targeting + outcome rules. Split into read.go/operations.go to keep adapter.go under 800 lines	go test -json beepermessage red: 17 fail	companion/internal/capability/adapters/beepermessage/adapter_readmanage_test.go
40	2026-08-07	G-B2-interface-prewiden	Pre-added the 13 read/manage methods to all four non-delegate beepermessage.API implementers before B2 widened the interface: NoOpBeeperAPI (discovery/beeper_fake.go), stubBeeper (contract_every_adapter_test.go), recordingBeeperAPI (proveadapter/beeper_test.go); fakeProductionBeeper was done earlier. Signatures copied verbatim from *beeper.Client so the widened interface, which production must satisfy with a real client, cannot break any other package build.	go build ./... clean; go test ./... 1851 pass/0 fail after widening	companion/internal/capability/routing/discovery/beeper_fake.go
41	2026-08-07	G-B2-done	B2 landed green: adapter.go widened API + verb-dispatched Resolve/Preview/Execute (Send/Read/Modify+Cancel) + shared matchingChats/resolveOneChat; read.go (network-scoped unread scan, named-thread read, codec-limit truncation); operations.go (13-op manage registry, recency targeting, only reply delivery-pending, state ops confirmed). Owned the delegate diff and re-ran independently.	beepermessage 25 pass/0 fail	companion/internal/capability/adapters/beepermessage/operations.go
42	2026-08-07	G-B2-test-fix	Delegate correctly refused the one red subtest (pin) because it was unsatisfiable as written: my fakeBeeper.UpdateChat formatted a *bool with %v, which prints a pointer address, never true. Fixed the TEST (boolPtrText derefs to true/false/<nil>), not the client or the impl.	pin subtest green after fix	companion/internal/capability/adapters/beepermessage/adapter_readmanage_test.go
43	2026-08-07	G-B4-done	B4 stage2 read-routing guards in resolver_test.go: an unread Read on beeper_messaging named instagram (empty subject = the canonical ask) survives the verb gate, routes to instagram with no handle and no preview; an unnamed read across three networks asks instead of leaking one network unread into another. Regression guard, not red-first (B2 manifest widening already enabled it). Production wires beeper_messaging=ResolvedByAdapter (production.go:63).	stage2 25 pass/0 fail; full module 1853 pass/0 fail	companion/internal/capability/routing/stage2/resolver_test.go
44	2026-08-07	H-deploy	Rebuilt operator-phone-runtime for the Pixel (GOOS=linux GOARCH=arm64) with the read.go unread-scan fix; sha256 8fdc929f. Deployed over Termux sshd (scp to u0_a451, install -m755 into the Debian proot at /usr/local/bin), backed up the old binary to .bak-318eb4, sv restart. Health after restart: router=openai_broker, beeper=connected, instagram registered, localPair=acked. Added svlogd log service so runtime stdout lands in /var/log/operator/phone-runtime/current to capture kind=unread_scan on the acceptance query.	curl -sk https://127.0.0.1:19443/v1/health returns the four green fields	companion/cmd/operator-phone-runtime/main.go
45	2026-08-07	H-accept-paused	On-device UI acceptance paused before firing the single approved query. Phone is in active human use (live Meet call You/Sinchana + Gmail thread foregrounded); driving the Operator text input stole focus back to email twice. Per never-block-on-the-human this is the reversible-vs-intrusive exception: hijacking a live call screen is intrusive and unreliable, so hand the last step to the user rather than plow ahead. Binary + logging left in place for the user (or me, when the phone is free) to fire one query and confirm the unread Instagram text renders with kind=unread_scan.	home screenshot shows Meet "return to your call" pill over Gmail	saved-results/openai-beeper-pixel-dogfood-2026-08-06.md
46	2026-08-07	H-field-bugs	Three field-level defects surfaced only on the real wire, all in the read preview path: (A) empty detail when nothing is unread, (B) control chars (a DM newline/tab) in preview lines and result detail, (C) an empty confirmLabel because previewRead never set Confirm. Each fails the mobile contract's safeDisplayString and gets the frame silently dropped. Fixed in read.go: "no unread"/"no messages" sentences, sanitizeToLine folds every control rune to a space and collapses runs, single-line detail joined with " · ", and previewRead now sets a non-empty headline+confirm ("Show unread"/"Show conversation").	beepermessage package green	companion/internal/capability/adapters/beepermessage/read.go
47	2026-08-07	H-lever	Built the lever so no 4th field bug ships blind: adapter_wirecontract_test.go builds the EXACT capability_preview and capability_result JSON bodies the handler puts on the wire (same anon-struct shapes), from a real unread-scan Resolve/Preview/Execute whose message text carries newline+tab+CR, wraps each in a contract.Message, and runs it through the real contract.EncodeText (which round-trips the decoder). Green = the read path is contract-valid; red would name the bad field on a laptop in ms instead of on the phone.	TestReadPreviewBodyPassesTheRealWireContract + TestReadResultBodyPassesTheRealWireContract pass	companion/internal/capability/adapters/beepermessage/adapter_wirecontract_test.go
48	2026-08-07	H-accept-PASS	On-device acceptance PASSED. Rebuilt arm64 (sha d05e5c62) with the confirm-label fix, redeployed over Termux, journal clean (0 events, ack 53). Fired "whats my most recent unread Instagram message" on the Pixel. Log: resolve verb=read subject_length=0 (NOT keyword search) -> unread scan ready chat_count=2 message_count=40 -> preview kind=unread_scan -> capability preview ready, no send-failure. App rendered the real unread Instagram messages with a valid "Show unread" confirm. Tapped confirm -> execute complete reached=completes done=true -> capability_result journaled at seq 56 (574-byte non-empty body) and acked at 56. No brick, no death loop. The canonical misroute is fixed end-to-end on real hardware.	screenshot acceptance-unread-instagram.png; journal seq56 capability_result len574; ack 56	saved-results/openai-beeper-pixel-dogfood-2026-08-06.md
49	2026-08-07	H-rough-edges	Two rough edges visible in the result card, neither a contract failure: (1) message text shows raw Beeper HTML ("raina: <strong><a href=...>flamingo.app</a> .reels Take the quiz") because sanitizeToLine strips control chars but not HTML tags; (2) the result-card header reads "Replied" for a read, because capability_result carries no verb so the Android app defaults the past-tense label. Edge 1 is a cheap Go-side fix in the read path I own; edge 2 is Android-side (needs the verb on the result or an app-side map).	screenshot acceptance-unread-instagram.png	companion/internal/capability/adapters/beepermessage/read.go
